Boulder,CO,50.93,31.6,66155,23661,8.3,9.77,49.97,320.5,563
Chaffee,CO,36.36,37.1,34978,14582,14.1,15.47,46.14,12.7,391
Cheyenne,CO,24.83,32,252148,22942,9.9,9.6,49.12,1.4,144
Crowley,CO,39.09,34.2,33100,12074,30.9,9.75,37.53,5.1,20
Delta,CO,32.63,40.7,64889,14386,17.4,12.26,50.25,19.3,270
Denver,CO,55.97,33.9,159683,24184,18,14.01,51.3,3162.4,861
Douglas,CO,24.94,32.3,31325,26345,2.8,5.23,49.7,87,233
Elbert,CO,24.52,33.8,20518,19050,6.1,8.99,49.91,5.8,144
El Paso,CO,27.41,30.2,46370,18342,12.1,10.97,49.74,197.8,562
Fremont,CO,35.4,37.7,55091,13374,17.4,13.29,48.04,21.5,373
Garfield,CO,36.36,32.8,85107,17552,10.4,9.7,49.03,10.6,403
Gunnison,CO,41.48,28.2,75537,15395,12.2,10.89,46.78,3.3,866
Huerfano,CO,52.92,39.6,43061,13464,24.9,12.8,51.07,3.7,332
Jefferson,CO,36.22,33.3,49028,22563,6.2,12.05,50.53,589.1,494
Kiowa,CO,28.16,37,81638,25714,11.5,16.19,50.7,0.9,69
Kit Carson,CO,25.29,34.9,157813,20128,12.8,11.43,50.51,3.3,300
La Plata,CO,37.87,31.9,71699,17714,12.4,10.1,49.64,20.4,502
Larimer,CO,38.36,31.1,51416,18404,10.8,9.15,50.57,76.2,180
Las Animas,CO,58.56,37.7,79200,13208,24.8,13.34,51.16,2.9,393
Lincoln,CO,27.75,36.9,141193,21016,16.2,11.91,42.7,1.8,187
Logan,CO,32.57,34.7,90658,17526,14.8,12.93,51.14,9.4,444
Mesa,CO,34.41,34.7,63968,16917,14.2,11.73,51.38,29.5,547
Moffat,CO,27.2,31.8,50988,17826,11.7,15.6,49.28,2.4,389
Montezuma,CO,29.72,33.3,89807,15127,17.1,10.67,51.21,9.6,488
Montrose,CO,31.67,37.1,89816,15909,12.7,12.18,51.09,11.4,404
Morgan,CO,33.43,33.1,85987,18110,15.5,11.82,50.93,17.7,436
Otero,CO,41.92,34.9,73156,15185,24.4,12.66,51.6,15.9,416
Phillips,CO,30.05,38.5,116671,18999,11,12.22,52.54,6,66
Prowers,CO,32.92,32,132074,15730,21.3,9.42,51.24,8,577
Pueblo,CO,53.62,34.7,52264,15582,20.7,14.48,51.46,51.8,651
Rio Blanco,CO,27.3,32.3,110260,17470,9.4,13.95,49.19,1.9,334
Rio Grande,CO,34,33.7,52253,15286,23,11.85,50.54,11.7,328
Routt,CO,39.06,32.4,119068,22654,6.5,10.97,46.62,6.4,374
Sedgwick,CO,34.64,40.8,83346,18661,12,15.92,51.21,4.7,104
Teller,CO,27.09,34.6,54644,19068,9.3,9.77,48.95,24.8,374
Washington,CO,25.26,37.3,128854,19003,13,13.07,50.15,1.8,87
Weld,CO,35.71,30.5,55994,16466,15.3,10.26,50.44,34.1,565
Yuma,CO,28.17,35.8,133721,19370,12,11.92,51.01,3.8,224
Fairfield,CT,39.13,35.5,191020,36257,7.7,13.34,52.01,1322.7,512
Hartford,CT,47.13,34.5,199847,26063,11.2,12.8,51.72,1151.5,595
Litchfield,CT,36.14,35.7,140960,24501,5.5,12.83,51.13,192.1,175
Middlesex,CT,42.83,34.8,139647,25217,5.2,12.97,51.1,392.1,232
New Haven,CT,41.9,34.2,159677,23651,11,12.59,51.86,1323.9,618
New London,CT,42.29,32.5,106965,22301,8.3,13.79,50.15,372.2,263
Tolland,CT,41.42,31.5,94933,20956,5.1,11.75,49.86,316.5,114
Windham,CT,40.38,32.7,84472,19510,9.6,11.76,51.14,201.2,133
Kent,DE,38.17,31.1,120322,16094,13,10.47,50.97,196.4,390
New Castle,DE,46.48,32.5,631534,23628,9.9,11.99,51.34,1065.9,425
Sussex,DE,36.47,36.4,130718,17484,13.9,9.98,51.4,127.3,233
Washington,DC,84.64,33.5,181395,27999,20.4,12.24,53.03,9540.7,1151
Alachua,FL,49.61,28.3,67103,17520,20.2,9.09,51.01,216.1,1082
Baker,FL,29.25,30.2,40609,13593,19.4,9.05,47.21,33,372
Bay,FL,28.12,33.2,41969,16424,16.3,10.35,51.04,174.7,740
Bradford,FL,36.46,33.6,55896,12438,21.6,13.76,44.38,78.4,759
Brevard,FL,31.19,36.2,67498,18715,11.6,11.42,50.49,417.5,668
Broward,FL,51.85,37.7,73135,22929,12.3,11.15,52.33,1084.5,853
Calhoun,FL,36.36,33.5,45242,11330,22.3,7.69,48.65,20.1,77
Charlotte,FL,36.91,53.6,88873,17584,10,8.81,51.8,173.6,366
Citrus,FL,35.62,50.8,89403,14941,15.5,9.75,52.08,171.5,276
Clay,FL,23.33,32,42602,17407,8.8,8.88,50.81,189.5,487
Collier,FL,26.13,40.7,126370,28557,13.1,7.56,50.29,81.6,571
Columbia,FL,36.97,33.6,56503,14089,20.4,10.73,50.99,55.7,728
Dade,FL,46.73,34.2,112594,16751,25.4,7.83,52.19,1031.5,1195
De Soto,FL,35.62,36.6,67987,15201,25,9.87,47.86,38.1,579
Duval,FL,36.85,31.5,82961,18857,15.4,11.57,50.8,903,1033
